img_path,part_number,description,price
parts/pillowblockdelrinwoodcropped,1010,Pillow block 3/4 inch ID Roller Bearing for Cranks,$19.95
a,1012,Pillow blockÊ1 inch ID Roller Bearing for CranksÊ,$21.95
a,1014,Pillow block 3/4 inch ID Roller Bearing for CranksÊ- Stainless Steel,$69.95
a,1016,Rubber Seal for pillow block bearing 3/4 boreÊ,$9.95
a,1029,Delrin Êinsert bearing for outside crank stainless steelÊ,$25.95
a,1030,L Bracket for mounting bearing on outside crankÊ,$21.95
a,1108,Crank Left Stainless Steel 2 bearings - Old Style,$135.50
a,1208,Crank Right Stainless Steel 2 bearings - Old Style,$135.50
a,1110,Crank Left Stainless Steel 1 bearing - New Style & Seaventure,$135.50
a,1210,Crank Right Stainless Steel 1 bearing - New Style & Seaventure,$135.50
a,1150,"Peal black 3/4"" bore",$16.50
a,1401,Paddlewheel - specify boat style,$385.00
a,1510,Steering knob - black,$12.95
a,1512,"Delrin  Bearing insert 3/4"" bore",$8.50
a,1542,Front Steering assembly complete Stainless steel,$99.00
a,1552,Front steering arm - stainless steel,$45.50
a,1562,Front Steering mount Stainless steel with Delrin insert,$108.50
a,1572,Rear Steering assembly with Delrin insert - compete stainless steel,$129.50
a,1632,Rear Steering mount with Delrin insert - stainless steel,$108.50
a,1622,Rear steering bracket - stainless steel,$52.50
a,1582,Steering connection rod: regular seize - stainless steel,$56.50
a,1586,Steering connection rod: African Queen - stainless steel,$56.50
a,1588,Steering connection rod: 4 passenger - stainless steel,$59.00
a,1590,Steering connection rod: Sea Venture - stainless steel,$68.50
a,1652,Rudder - stainless steel,$68.50
a,1654,Rudder - plastic,$52.00
a,1702,"Drainplug rubber - 1/2""",$9.75
a,1704,"Drainplug rubber - 1""",$11.75
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
